Query,Recall,Precision
559.jpg,0.4,1
56.jpg,1,1
560.jpg,0.8,1
561.jpg,1,1
562.jpg,0.6,1
563.jpg,1,1
564.jpg,1,1
565.jpg,0.4,1
566.jpg,0.8,1
567.jpg,0.8,0.7
568.jpg,0.4,1
569.jpg,0.6,0.9
57.jpg,1,0.3
570.jpg,0.6,1
571.jpg,0.6,1
572.jpg,1,1
573.jpg,0.6,1
574.jpg,0.8,1
575.jpg,0.6,1
576.jpg,0.8,1
577.jpg,1,1
578.jpg,1,1
579.jpg,1,1
58.jpg,1,1
580.jpg,1,1
581.jpg,0.6,1
582.jpg,1,1
583.jpg,0.6,1
584.jpg,1,1
585.jpg,0.6,1
586.jpg,1,1
587.jpg,0.6,1
588.jpg,1,1
589.jpg,1,1
59.jpg,1,1
590.jpg,0.4,1
591.jpg,0.2,1
592.jpg,1,1
593.jpg,1,1
594.jpg,0.8,1
595.jpg,1,1
596.jpg,0.6,1
597.jpg,0.8,1
598.jpg,0.4,1
599.jpg,1,1
6.jpg,1,1
60.jpg,1,1
600.jpg,1,0.9
601.jpg,0.8,1
602.jpg,1,0.7
603.jpg,1,0.5
604.jpg,1,0.9
605.jpg,0.4,1
606.jpg,1,0.8
607.jpg,0.4,0.7
608.jpg,1,0.7
609.jpg,1,0.8
61.jpg,1,0.9
610.jpg,1,0.9
611.jpg,1,1
612.jpg,1,1
613.jpg,1,1
614.jpg,1,1
615.jpg,1,0.4
616.jpg,1,0.8
617.jpg,1,1
618.jpg,1,1
619.jpg,1,0.5
62.jpg,1,1
620.jpg,1,0.6
621.jpg,1,1
622.jpg,0.8,0.6
623.jpg,1,0.7
624.jpg,1,0.7
625.jpg,1,1
626.jpg,1,0.9
627.jpg,1,0.8
628.jpg,1,0.8
629.jpg,0.6,0.4
63.jpg,0.2,0.7
630.jpg,1,0.8
631.jpg,1,1
632.jpg,0.8,0.9
633.jpg,1,0.6
634.jpg,1,0.7
635.jpg,1,0.9
636.jpg,1,1
637.jpg,0.8,0.5
638.jpg,0.8,1
639.jpg,0.8,0.8
64.jpg,1,0.8
640.jpg,0.8,1
641.jpg,1,0.7
642.jpg,1,0.8
643.jpg,1,0.5
644.jpg,1,0.5
645.jpg,1,0.9
646.jpg,0.2,1
647.jpg,1,0.8
648.jpg,1,0.7
649.jpg,1,0.9
65.jpg,0.2,0.6
650.jpg,1,0.8
651.jpg,0.8,0.9
652.jpg,1,0.7
653.jpg,1,0.9
654.jpg,0.4,1
655.jpg,1,1
656.jpg,1,0.8
657.jpg,1,0.8
658.jpg,1,0.8
659.jpg,1,0.7
66.jpg,1,1
660.jpg,0.8,1
661.jpg,1,0.9
662.jpg,1,1
663.jpg,1,0.9
664.jpg,1,1
665.jpg,1,1
666.jpg,1,0.9
667.jpg,0.8,0.7
668.jpg,0.8,0.8
669.jpg,0.8,0.9
67.jpg,1,0.9
670.jpg,0.8,0.8
671.jpg,1,0.8
672.jpg,1,0.6
673.jpg,1,0.9
674.jpg,0.8,0.6
675.jpg,1,0.9
676.jpg,0.8,1
677.jpg,1,0.9
678.jpg,1,1
679.jpg,1,1
68.jpg,1,1
680.jpg,0.8,0.9
681.jpg,0.6,0.6
682.jpg,0.6,0.7
683.jpg,0.4,0.9
684.jpg,1,0.8
685.jpg,1,1
686.jpg,0.2,0.9
687.jpg,1,0.9
688.jpg,1,0.8
689.jpg,0.2,0.5
69.jpg,0.8,0.8
690.jpg,0.8,0.5
691.jpg,0.2,0.9
692.jpg,0.4,0.6
693.jpg,0.2,1
694.jpg,0.2,1
695.jpg,0.2,0.8
696.jpg,0.2,0.9
697.jpg,0.8,0.9
698.jpg,0.2,1
699.jpg,0.8,0.8
7.jpg,1,1
70.jpg,1,1
700.jpg,1,0.9
701.jpg,1,1
702.jpg,1,1
703.jpg,0.6,1
704.jpg,1,1
705.jpg,0.8,0.8
706.jpg,1,1
707.jpg,1,1
708.jpg,0.6,0.9
709.jpg,1,1
71.jpg,0.6,1
710.jpg,1,0.9
711.jpg,1,1
712.jpg,0.8,1
713.jpg,1,1
714.jpg,1,1
715.jpg,1,1
716.jpg,0.6,1
717.jpg,1,1
718.jpg,1,1
719.jpg,0.4,1
72.jpg,0.8,0.6
720.jpg,1,1
721.jpg,1,1
722.jpg,1,1
723.jpg,1,1
724.jpg,1,1
725.jpg,1,1
726.jpg,1,1
727.jpg,1,1
728.jpg,0.8,1
729.jpg,1,1
73.jpg,0.4,1
730.jpg,1,1
731.jpg,0.8,1
732.jpg,1,1
733.jpg,1,1
734.jpg,1,0.9
735.jpg,1,1
736.jpg,1,1
737.jpg,1,1
738.jpg,0.8,1
739.jpg,1,0.9
74.jpg,0.8,0.8
740.jpg,1,0.9
741.jpg,1,1
742.jpg,1,1
743.jpg,1,1
744.jpg,0.6,1
745.jpg,1,0.5
746.jpg,0.8,1
747.jpg,1,0.4
748.jpg,1,1
749.jpg,1,1
75.jpg,1,0.7
750.jpg,1,0.8
751.jpg,1,1
752.jpg,1,1
753.jpg,0.8,1
754.jpg,0.4,1
755.jpg,0.8,1
756.jpg,1,1
757.jpg,1,1
758.jpg,1,0.6
759.jpg,1,1
76.jpg,1,1
760.jpg,1,0.8
761.jpg,1,1
762.jpg,1,0.6
763.jpg,1,1
764.jpg,1,1
765.jpg,1,0.5
766.jpg,1,1
767.jpg,1,1
768.jpg,1,0.9
769.jpg,1,1
77.jpg,1,1
770.jpg,1,1
771.jpg,1,0.2
772.jpg,1,1
773.jpg,1,1
774.jpg,1,1
775.jpg,0.6,0.8
776.jpg,0.8,1
777.jpg,1,0.5
778.jpg,1,0.9
779.jpg,1,0.9
78.jpg,1,1
780.jpg,1,1
781.jpg,1,1
782.jpg,1,0.8
783.jpg,1,0.7
784.jpg,1,0.2
785.jpg,0.4,0.8
786.jpg,1,1
787.jpg,1,1
788.jpg,0.8,0.9
789.jpg,1,0.6
79.jpg,0.4,1
790.jpg,1,0.7
791.jpg,1,1
792.jpg,1,0.9
793.jpg,1,1
794.jpg,1,0.7
795.jpg,1,1
796.jpg,1,1
797.jpg,1,0.9
798.jpg,1,1
799.jpg,1,1
8.jpg,1,1
80.jpg,1,0.8
800.jpg,0.2,0.7
801.jpg,0.2,1
802.jpg,0.2,1
803.jpg,0.4,0.8
804.jpg,0.6,0.7
805.jpg,0.6,0.9
806.jpg,0.8,0.9
807.jpg,0.2,0.4
808.jpg,0.4,0.9
809.jpg,0.6,0.5
81.jpg,1,1
810.jpg,0.2,0.5
811.jpg,0.2,1
812.jpg,0.2,1
813.jpg,0.4,0.8
814.jpg,0.4,1
815.jpg,0.2,0.6
816.jpg,0.4,0.5
817.jpg,0.4,1
818.jpg,0.8,0.7
819.jpg,0.8,0.8
82.jpg,1,1
820.jpg,0.4,0.8
821.jpg,0.4,0.5
822.jpg,0.8,1
823.jpg,0.4,1
824.jpg,0.6,0.6
825.jpg,0.2,1
826.jpg,0.4,0.6
827.jpg,0.4,0.7
